Video ID,Title,Description,Channel Title,Video URL,Tags,Category,Published At,View Count,Comment Count,Duration,Captions Available,Caption Text,Location
s0geipPsV9s,Ek tuition wali didi aisi bhi👩‍🏫😂 #shorts #funnyshorts #comedyshorts #ytshorts #teacherlife,Ek tuition wali didi aisi bhi  ‍     #shorts #funnyshorts #comedyshorts #ytshorts #teacherlife #sejalgabashorts #tuition.,Sejal Gaba,https://www.youtube.com/watch?v=s0geipPsV9s,[],,2024-09-10T09:04:25Z,62359592,2773,PT58S,TRUE,No English Captions Available,N/A
x0JXv4l4w1M,The End 😂😂 |indian family #shorts #indian #relatable #chotabhai #aavesham,The End |indian family #shorts #indian #relatable #chotabhai #aavesham Disclaimer: The content of this video is intended for ...,PR PRESENTS - Telugu,https://www.youtube.com/watch?v=x0JXv4l4w1M,[],,2024-06-05T14:40:24Z,60987340,694,PT58S,TRUE,No English Captions Available,N/A
qRuSXjKtsO8,गर्मी 😂😂 #funny #realfools #surajroxfunnyvibeo #garmi,,Real fools shorts official,https://www.youtube.com/watch?v=qRuSXjKtsO8,[],,2024-05-06T06:42:42Z,59340268,5646,PT35S,TRUE,No English Captions Available,N/A
xCgX8nvir1w,😭Zaalim bhai 1️⃣ #viralvideo #emotional #tranding #motivation#funny#comedy #sad,,Al Naveela Siddiqui 999,https://www.youtube.com/watch?v=xCgX8nvir1w,[],,2024-08-13T08:39:48Z,58896453,1647,PT1M,TRUE,No English Captions Available,N/A
_KjO7y7ryn8,Part- 13 | Memes Act Challenge😂#shorts,,TeAm STARS,https://www.youtube.com/watch?v=_KjO7y7ryn8,[],,2023-06-12T06:05:15Z,57769530,4395,PT54S,TRUE,No English Captions Available,N/A
DWZ9GkZXFCQ,Teri Sari Wish Pura Dunga Part-2  #shorts #tiktokvideo #funnyshorts Fun #sukhasankastar,,Sukhasan Ka Rahman Bhai,https://www.youtube.com/watch?v=DWZ9GkZXFCQ,[],,2024-05-16T12:22:37Z,55405700,222,PT1M,TRUE,No English Captions Available,N/A
FuWEtC3Vx34,Happy Diwali 🪔 | Diwali par Sattar rahe 💣 | #funny #comedy #diwali #tranding #shorts,Happy Diwali | Diwali par Sattar rahe | #funny #comedy #diwali #tranding #shorts Hai Video ￼Manoranjan purpose Ke liye ...,Super Vlog,https://www.youtube.com/watch?v=FuWEtC3Vx34,[],,2024-10-28T00:18:31Z,54871187,985,PT55S,TRUE,No English Captions Available,N/A
7CBAyuFOgyc,Very Special Trending Comedy Video 2024 😂 Amazing Funny Video Episode 181 By Busy Fun Ltd,"Hello Dear Viewers, This is a funny videos channel. We make funny videos in our village. Because We are live in village.",Busy Fun Ltd,https://www.youtube.com/watch?v=7CBAyuFOgyc,[],,2024-08-16T03:23:21Z,54428334,1481,PT8M6S,TRUE,No English Captions Available,N/A
oq9pYJuklgM,Teacher ki beti VS Principal ki beti 👧🏼 #shorts #ytshorts #sejalgabashorts #schoollife #teacher,Teacher ki beti VS Principal ki beti #shorts #ytshorts #sejalgabashorts #schoollife #teacher #funnyshorts.,Sejal Gaba,https://www.youtube.com/watch?v=oq9pYJuklgM,[],,2024-11-22T08:08:28Z,50295342,3738,PT1M1S,TRUE,No English Captions Available,N/A
kK0-qc17mVU,Jab apki mummy school m principal ho👩‍🏫😂 #shorts #sejalgabashorts #ytshorts #teacherlife,Jab apki mummy school m principal ho  ‍     #shorts #sejalgabashorts #ytshorts #teacherlife #viralshort #scholllife.,Sejal Gaba,https://www.youtube.com/watch?v=kK0-qc17mVU,[],,2024-10-06T05:58:56Z,49378681,2881,PT1M,TRUE,No English Captions Available,N/A
xgnbbG-O2aU,Tuition wali didi rock 👩‍🏫bache shock😂 #shorts #sejalgabashorts #ytshorts #tuition #teacherlife,Tuition wali didi rock ‍  bache shock   #shorts #sejalgabashorts #ytshorts #tuition #teacherlife #funnyshorts #comedyshorts.,Sejal Gaba,https://www.youtube.com/watch?v=xgnbbG-O2aU,[],,2024-10-12T09:27:32Z,49045405,1578,PT1M1S,TRUE,No English Captions Available,N/A
vaWp0pLfv6U,♪ ♪ Best 5 Baby Songs | Hooray Kids Songs &amp; Nursery Rhymes | Most Funny Kids Songs Learning Bathing,Luka is a baby and still very young. But his whole family is taking good care of him and encourages him in his daily learning.,Hooray Kids Songs & Nursery Rhymes,https://www.youtube.com/watch?v=vaWp0pLfv6U,[],,2023-07-21T12:30:36Z,47600570,0,PT9M29S,TRUE,No English Captions Available,N/A
QIIKX0EmOVw,Indian Mother&#39;s🤣🤣.. #trending #మంచిర్యాల #real #viral,Indian Mother's    .. #trending #మంచిర్యాల #real #viral SCRIPTED PERFORMANCE We created a series featuring ...,PR PRESENTS - Telugu,https://www.youtube.com/watch?v=QIIKX0EmOVw,[],,2023-11-05T14:19:45Z,46325063,1942,PT56S,TRUE,No English Captions Available,N/A
EiZL_HK0fUs,Biscuit Cake 🤣 | #shorts #shortsvideo #funny,Follow Me Instagram :- @sonusagarrr.,The Sonu Sagar,https://www.youtube.com/watch?v=EiZL_HK0fUs,[],,2024-08-30T02:30:14Z,42740327,621,PT1M,TRUE,No English Captions Available,N/A
b2JMT5jSc0k,Sakina vs kidnapper 🤣🤣,,Doon Boys021,https://www.youtube.com/watch?v=b2JMT5jSc0k,[],,2024-11-04T13:30:27Z,42489590,1782,PT1M,TRUE,No English Captions Available,N/A
dOizr_VkfP4,Ek aisi teacher har school m hoti hai👩‍🏫😂 #shorts #funnyshorts #comedyshorts #teacherlife,Ek aisi teacher har school m hoti hai  ‍     #shorts #funnyshorts #comedyshorts #teacherlife #sejalgabashorts #ytshorts.,Sejal Gaba,https://www.youtube.com/watch?v=dOizr_VkfP4,[],,2024-09-07T09:39:22Z,41109179,1666,PT32S,TRUE,No English Captions Available,N/A
7gN97y5FwqQ,Tuition wali didi ki Shaddi 👩‍🏫 #shorts #funnyshorts #ytshorts #teacherlife #tuition #sejalgaba,Tuition wali didi ki Shaddi ‍   #shorts #funnyshorts #ytshorts #teacherlife #tuition #sejalgaba #viralshort #schoollife.,Sejal Gaba,https://www.youtube.com/watch?v=7gN97y5FwqQ,[],,2024-11-04T07:58:21Z,40733821,1240,PT1M1S,TRUE,No English Captions Available,N/A
d-tOGkJ6VXc,Bechari ladkiya kabhi ghum ni pati🥹👩🏼 #shorts #ytshorts #funnyshorts #women #sejalgabashorts,Bechari ladkiya kabhi ghum ni pati       #shorts #ytshorts #funnyshorts #women #sejalgabashorts #viralshort.,Sejal Gaba,https://www.youtube.com/watch?v=d-tOGkJ6VXc,[],,2024-10-17T06:29:09Z,40256739,1671,PT58S,TRUE,No English Captions Available,N/A
1p7NmlTW5qo,"Subramanyam For Sale | Telugu Full Movie 2015 | English Subtitles | Harish Shankar, Sai Dharam Tej","Watch Subramanyam For Sale Telugu Full Movie 2015 With Subtitles Starring: Sai Dharam Tej, Regina Cassandra, Adah Sharma ...",Dil Raju,https://www.youtube.com/watch?v=1p7NmlTW5qo,[],,2015-12-13T15:27:47Z,40006598,4482,PT2H31M47S,TRUE,No English Captions Available,N/A
Jsb95H_HBFw,ravan ram muslim lady | Gulli Bulli | Cartoon | granny | short | tmkoc | shortscomedy,ram #ravan #hindumuslim #diwali ----------------------------------------------------------------------------------- Chinu Tinu Gulli Bulli horror story ...,MYR TOONS,https://www.youtube.com/watch?v=Jsb95H_HBFw,[],,2024-10-23T14:51:51Z,38635500,353,PT46S,TRUE,No English Captions Available,N/A
NsTfh49pjAA,Jab apki mummy school me principal ho👩‍🏫😂 #shorts #funnyshorts #ytshorts #teacherlife,Jab apki mummy apke school me hi principal ho  ‍     #shorts #funnyshorts #ytshorts #teacherlife #schoollife #viralshort ...,Sejal Gaba,https://www.youtube.com/watch?v=NsTfh49pjAA,[],,2024-10-18T08:22:20Z,38238707,1749,PT1M1S,TRUE,No English Captions Available,N/A
J1ng-USs3z0,Bachpan Dekhne ka machine 😂-#funnyvideo #funny #shorts￼￼,,AMIT FF YT,https://www.youtube.com/watch?v=J1ng-USs3z0,[],,2024-07-20T09:55:00Z,38018033,1573,PT1M,TRUE,No English Captions Available,N/A
2UtKR1XcRQs,धोनी सर की तबियत ख़राब होगई😔 #lessonoflife #emotional #dhonisir #jagga #56 #badri #shorts #sadstory,,Lesson Of Life ,https://www.youtube.com/watch?v=2UtKR1XcRQs,[],,2024-08-20T13:31:25Z,37739092,8705,PT1M,TRUE,No English Captions Available,N/A
rQhH6-NTAfE,Surajactor new comedy shorts #surajactor,,Filmy Suraj Actor,https://www.youtube.com/watch?v=rQhH6-NTAfE,[],,2024-09-27T05:57:57Z,35890750,814,PT52S,TRUE,No English Captions Available,N/A
SXNDFcNH4DY,Hospital🏥अगर चलती🏍️Bike मे हो?😱 #hospital #bike #shorts,Hospital  अगर चलती🏍️Bike मे हो?   Disclaimer* - This video is only for entertainment purposes Nobody is harmed or ...,Piyuansh,https://www.youtube.com/watch?v=SXNDFcNH4DY,[],,2024-09-28T04:52:00Z,35894618,306,PT36S,TRUE,No English Captions Available,N/A
yYAc408u2w8,Jagaa Robot 🤖 Part 3 #dhonisir #comedy #jagga #aaganwadikebacche #funny #trending #shorts #viral,,Aanganwadi Ke Bacche,https://www.youtube.com/watch?v=yYAc408u2w8,[],,2024-07-30T12:03:51Z,35878317,587,PT1M,TRUE,Error fetching captions: <urlopen error [WinError 10054] An existing connection was forcibly closed by the remote host>,N/A
qxiDkPaBnNs,बायकां ना फसवलं😂😝😅#shorts #comedy #funnyvideos #comedyvideo #vaibhavgawade #दिवाळी #दिवाळीफराळ,,vaibhav gawade comedy ,https://www.youtube.com/watch?v=qxiDkPaBnNs,[],,2023-11-08T16:01:49Z,35793228,611,PT52S,TRUE,No English Captions Available,N/A
8rhygdsIG9E,नाटक दिखा के आम ले गया 😂 #funny #advik #comedyfilms #comedy #comedymovies,,Advik Maurya,https://www.youtube.com/watch?v=8rhygdsIG9E,[],,2024-06-07T04:31:04Z,35091111,73,PT41S,TRUE,No English Captions Available,N/A
azxBlgM_TNI,😂Wait For End Twist😂❗#shorts #trending #viral #diwali #funny #comedy #reels,Wait For End Twist  ❗#shorts #trending #viral #diwali #funny #comedy #reels #love #couple #youtubeshorts #trendingshorts ...,GOWTHAM INDHU OFFICIAL ,https://www.youtube.com/watch?v=azxBlgM_TNI,[],,2024-11-03T10:49:12Z,34559628,417,PT31S,TRUE,No English Captions Available,N/A
NRU9iYdvEAY,Dolly or nimoda ne झूला झुला😂 #banku #doli #srsir #comedy #masti #viral #funny #explore #trending,,Banku Backbencher,https://www.youtube.com/watch?v=NRU9iYdvEAY,[],,2024-06-03T12:32:34Z,34457606,536,PT1M,TRUE,No English Captions Available,N/A
bm5k0OSeQCY,Hulk scary transformation with funny transformation !,Hulk boy and hulk teenage funny moment #hulktransformation #hulk.,Dani Fiction,https://www.youtube.com/watch?v=bm5k0OSeQCY,[],,2023-06-27T10:42:14Z,33805226,0,PT48S,TRUE,No English Captions Available,N/A
AQQ_hchdkyg,Golu Bana Papa Ki Pari 😂 Red Wali Saree #papakipari #shorts #comedy,,Asli Mona Official,https://www.youtube.com/watch?v=AQQ_hchdkyg,[],,2024-12-16T06:30:03Z,34575213,754,PT1M,TRUE,No English Captions Available,N/A
XOWu-zprvX4,Ap bhi aise hi krta the kya computer ke period mai 👩‍💻😂 #shorts #ytshorts #funnyshorts #school,Ap bhi aise hi krta the kya computer ke period mai ‍     #shorts #ytshorts #funnyshorts #school #teacherlife #sejalgabashorts.,Sejal Gaba,https://www.youtube.com/watch?v=XOWu-zprvX4,[],,2024-10-13T06:16:04Z,33204474,2231,PT1M,TRUE,No English Captions Available,N/A
ThGgtQXLy7c,अगर Car🚗उप्पर सब काम करें तो!🧐🤓 #Comedy #car,अगर Car  उप्पर सब काम करें तो!     #Comedy #car #car #carsofinstagram #carporn #bmw #auto #carlifestyle ...,Piyuansh,https://www.youtube.com/watch?v=ThGgtQXLy7c,[],,2024-10-03T04:28:03Z,32572073,748,PT37S,TRUE,No English Captions Available,N/A
q4A7Q4Aqqfo,Baccha Kidnap Part-3 😂 #shortsfeed #tiktokvideo #funnyshorts #comedy #Bacchakidnap,,Sukhasan Ka Rahman Bhai,https://www.youtube.com/watch?v=q4A7Q4Aqqfo,[],,2024-07-04T02:44:09Z,31427351,168,PT1M,TRUE,No English Captions Available,N/A
i-eh9YGpXMo,Nurse Banke Sabko Lagae Injection ! 😂😂 #minivlog #sanjhalikavlogs #comedyfilms #funny #comedy,,Sanjhalika Vlog,https://www.youtube.com/watch?v=i-eh9YGpXMo,[],,2024-09-06T08:10:52Z,31332349,527,PT45S,TRUE,No English Captions Available,N/A
dq0HurUtR98,Mr. Jholay | Nepali Movie | Dayahang Rai | Deeya Pun | Ram Babu Gurung | Buddhi Tamang | Bijay Baral,"Cinema Art & Teken Khadka Production Presents! Nepali Movie Mr. JHOLAY ➤Casts: Dayahang Rai, Barsha Raut, Deeya Pun, ...",HiTechEntertainment,https://www.youtube.com/watch?v=dq0HurUtR98,[],,2018-12-30T09:30:01Z,30509880,11113,PT1H59M23S,TRUE,No English Captions Available,N/A
5XaSzyl9KlI,अगर चलती🛼Skating Office🏤 हो! #comedy #skating,अगर चलती  Skating Office   हो! Disclaimer* - This video is only for entertainment purposes Nobody is harmed or injured ...,Piyuansh,https://www.youtube.com/watch?v=5XaSzyl9KlI,[],,2024-10-17T03:17:37Z,30220353,632,PT41S,TRUE,No English Captions Available,N/A
ykNUu0-GJ_g,"Rajini Murugan - Full Tamil Film | Sivakarthikeyan,  Keerthy Suresh, Soori | Imman | Ponram","Rajini Murugan is a 2016 Comedy film written and directed by Ponram, The film has Sivakarthikeyan and Soori in the lead roles, ...",Thirrupathi Brothers,https://www.youtube.com/watch?v=ykNUu0-GJ_g,[],,2016-09-17T10:40:51Z,30189503,2700,PT2H29M45S,TRUE,No English Captions Available,N/A
FCxq56KD1dA,Long straw drinking stranger shake😁 #funny #shorts #comedy,,Joker Pranks,https://www.youtube.com/watch?v=FCxq56KD1dA,[],,2023-01-05T17:46:04Z,30090058,5171,PT21S,TRUE,No English Captions Available,N/A
e0EWOz78y4k,Destroyed in second😂 #shorts #funny #comedy,,sonu.indori,https://www.youtube.com/watch?v=e0EWOz78y4k,[],,2024-10-08T14:34:34Z,28847884,657,PT1M,TRUE,No English Captions Available,N/A
BzO8pLJP7x0,DHOLKI Marathi Comedy Full Movie | जबरदस्त कॉमेडी चित्रपट | Siddharth Jadhav &amp; Sayaji Shinde,DHOLKI Marathi Comedy Full Movie | जबरदस्त कॉमेडी चित्रपट | Siddharth Jadhav & Sayaji Shinde #dholki ...,Fakt Marathi Tv,https://www.youtube.com/watch?v=BzO8pLJP7x0,[],,2016-12-15T13:19:21Z,28071536,1961,PT2H16M26S,TRUE,No English Captions Available,N/A
wx-OcTtaSqk,The End 😂😂 |Indian family #shorts #indian #relatable #chotabhai #school,The End |Indian family #shorts #indian #relatable #chotabhai #school Disclaimer: The content of this video is intended for ...,PR PRESENTS - Telugu,https://www.youtube.com/watch?v=wx-OcTtaSqk,[],,2024-10-21T14:33:33Z,27984123,905,PT53S,TRUE,No English Captions Available,N/A
gDMVihHf20A,"when you see this clown school bus filled with CLOWNS, do not pass it! Drive away FAST!!","when you see this clown school bus filled with CLOWNS, do not pass it! Drive away FAST!! NEW MERCH: ...",Stromedy,https://www.youtube.com/watch?v=gDMVihHf20A,[],,2020-10-30T17:56:39Z,27781642,13542,PT17M14S,TRUE,No English Captions Available,N/A
bw26GwL5NAw,CRIMINAL AFFAIR | Seven Men and One Brain | Full Comedy Movie | English | 720p,"A renowned author, college professor and criminologist is given a year off from his teaching position in order to write his latest ...",MOVIEHOLIC,https://www.youtube.com/watch?v=bw26GwL5NAw,[],,2018-10-10T13:30:00Z,27706697,467,PT1H30M5S,TRUE,No English Captions Available,N/A
ye5HlqJtYKA,Golmaal - Fun Unlimited (2006)(HD &amp; Eng Subs) Hindi Full Comedy Movie - Ajay Devgan | Arshad Warsi,"Movie Starts At 01:00 Vasuli Bhai Scene 10:37 Killing Gopal Scene 1:11:35 Invitation Scene 1:57:07 ""Four good-for-nothing ...",Shemaroo Movies,https://www.youtube.com/watch?v=ye5HlqJtYKA,[],,2018-04-12T14:30:01Z,27651906,2969,PT2H22M21S,TRUE,No English Captions Available,N/A
VKJlUXUeTKk,Shirt Missing🤣Mom vs son 🔥watch end😂Goutham | #trendingtheeviravadhi #comedy #funny,,Trending Theeviravadhi,https://www.youtube.com/watch?v=VKJlUXUeTKk,[],,2024-02-15T14:31:48Z,27517171,1991,PT1M,TRUE,No English Captions Available,N/A
tKa9Lmp2R3k,Chappri Girls ki Tuition classes😂 #shorts #funnyshorts #viralshorts #chappri #ytshorts,Chappri Girls ki Tuition classes   #shorts #funnyshorts #viralshorts #chappri #ytshorts #ytshorts.,Sejal Gaba,https://www.youtube.com/watch?v=tKa9Lmp2R3k,[],,2024-05-24T15:37:20Z,25658436,2379,PT49S,TRUE,No English Captions Available,N/A
u5NJUF-M6pc,"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki","CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki Aama Saraswati Geeta Devi Films ...",HighlightsNepal,https://www.youtube.com/watch?v=u5NJUF-M6pc,[],,2017-01-13T01:37:07Z,25560899,7884,PT2H16M5S,TRUE,No English Captions Available,N/A
#NAME?,পার্ক কাণ্ড 🤣। #bonggos #ytshorts #shortsfeed #tiktok #viral #funny #bouma #malkin #vaibon #Ma,পার্ক কাণ্ড । #Bong gos #sasurivsbouma #ma #comedyshorts #ytshorts #shortsfeed #funnyshorts #viral ...,Bong Gos,https://www.youtube.com/watch?v=-tyQJqpXwUc,[],,2024-09-20T09:59:09Z,25175912,791,PT1M,TRUE,No English Captions Available,N/A
mQVktHQhMeE,जग्गा के पास तो बम ही बम है 💨 #comedy #jagga #funny #aaganwadikebacche #trending #dhonisir #shorts,,Aanganwadi Ke Bacche,https://www.youtube.com/watch?v=mQVktHQhMeE,[],,2024-10-30T13:40:13Z,24973954,319,PT1M,TRUE,No English Captions Available,N/A
MqUx69rm7YI,Gabbar ka Diwali  😂-#funnyvideo #funny #shorts ￼,,AMIT FF YT,https://www.youtube.com/watch?v=MqUx69rm7YI,[],,2024-10-31T09:50:00Z,24293328,1098,PT1M,TRUE,No English Captions Available,N/A
tIDOjohGSuo,The End 😂😂 |Indian family #shorts #indian #relatable #chotabhai #school,The End |Indian family #shorts #indian #relatable #chotabhai #school.,PR PRESENTS - Telugu,https://www.youtube.com/watch?v=tIDOjohGSuo,[],,2024-10-29T14:27:10Z,24084404,418,PT1M,TRUE,No English Captions Available,N/A
