Video ID,Title,Description,Channel Title,Keyword Tags,YouTube Video Category,Topic Details,Video Published at,Video Duration,View Count,Comment Count,Captions Available,Caption Text,Location
UIsRIsvJqjw,World&#39;s LOUDEST Fart | #Shorts | Science Fiction Station,He shouldn't have had that Turkey leg! The Nutty Professor (1996): An overweight and socially awkward genetics professor ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",,,15509191,387,FALSE,,N/A
3mU6zzu4G94,This Villain Is More Powerful Than Wolverine and Deadpool #ending #trending #shorts,deadpool #wolverine #deadpool3.,Recap Again,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,14362589,125,FALSE,,N/A
6M6M4L5vdXM,Outrunning A Graboid | #Shorts | Science Fiction Station,"This is the scariest game of the floor is lava that I've ever watched! Tremors (1990): Valentine and Earl, two handymen staying in ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,14320145,299,FALSE,,N/A
9FHiGIA3Hx4,2067 - Hollywood Movies In Hindi Dubbed Full Mystery HD | Best Full Hindi Dubbed Action Movie 4K,2067 - Hollywood Movies In Hindi Dubbed Full Mystery HD | Best Full Hindi Dubbed Action Movie 4K. One man's journey to the ...,Vista Hindi - PictureWorks,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,14287963,3029,TRUE,,N/A
3ZpMdm0cjqY,Fally Ipupa - Science-Fiction (Clip officiel),"'Formule 7', triple album Rumba maintenant disponible : https://FallyIpupa.lnk.to/formule7AY - ""Science-Fiction"" disponible ...",Fally Ipupa,,,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",,,14200031,7725,FALSE,,N/A
b_MjOF6kZpw,Tremors Final Scene | Tremors | Science Fiction Station,"In the final scene to the cult classic Tremors, Val (Kevin Bacon), Earl (Fred Ward) & Rhonda (Finn Carter) come up with an ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,12436676,555,FALSE,,N/A
3F3hkXk1Hy4,Science Fiction Movie - ALIENS REACTION 2021- Directed by ALI POURAHMAD / Alien Movies/Sci Fi Movies,Movie: Aliens Reaction ⚫ Genre: Science fiction ⚫ Director: Ali Pourahmad ⚫ Producers: Caitlin Burt and David Jon Foster ...,ALI POURAHMAD           SCIENCE | INVENTIONS | ART,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,11999284,1636,FALSE,,N/A
tXuU4d4CHfM,Meet The Indominus Rex | Jurassic World | Science Fiction Station,"""The kids? This will give the parents nightmares."" Meet Jurassic World's new terrifying attraction; the Indominus Rex. Jurassic ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,10805466,2013,FALSE,,N/A
om6NoIB4uyA,Krrish 3 full movie in hindi | Hrithik Roshan | superhit Hollywood | Science fiction,Krrish 3 full movie in hindi | Hrithik Roshan | superhit Hollywood | Science fiction.,AS movies,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,10453620,1441,FALSE,,N/A
LABmnSyUBp8,Gipsy Avenger vs. Mega-Kaiju | Pacific Rim: Uprising | Science Fiction Station,It's a Jaeger vs. Kaiju throw down as Gipsy Avenger squares up against the Mega-Kaiju. Pacific Rim: Uprising (2018): Jake ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,10016216,1214,FALSE,,N/A
sQ2Wc71PGVI,Mermaids The Body Found: Are Mermaids Real? | Mermaid Science Fiction Programme | Reel Truth Science,"After marine biologist Dr Brian McCormick stumbled across mysterious underwater sounds during a recording, he launched a big ...",Banijay Science,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",,,8549820,17969,FALSE,,N/A
qPQQwqGWktE,Space Elevator – Science Fiction or the Future of Mankind?,So. Space elevators. Are they are thing that we should talk about? OUR CHANNELS ...,Kurzgesagt – In a Nutshell,,,['https://en.wikipedia.org/wiki/Music'],,,7900760,8249,TRUE,,N/A
2TFE-1tvJn4,Jaeger Controlled By A Kaiju Brain | Pacific Rim: Uprising | Science Fiction Station,Jake (John Boyega) & Lambert (Scott Eastwood) face off against the rogue Obsidian Fury Jaeger & discover that it's controlled by ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,6794827,1151,FALSE,,N/A
5IthubHBrCE,James Gunn&#39;s First Movie | #Shorts | Science Fiction Station,He may be playing with the big leagues of Marvel & DC now but James Gunn's first film was Science Fiction Horror cult classic ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",,,6696099,331,FALSE,,N/A
Imz8pOFhMe8,Secret Girl 009 Science Fiction Movie ||  Hindi Dubbed Action Movie || Hollywood Movie || HD,"Marking the 75th anniversary of his birth, Shotaro Ishinomori's classic spy heroine manga ""009-1"" has been adapted into a ...",Suresh N Menon,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,6445900,265,FALSE,,N/A
Qw_GaeJnoSI,Why Tolkien Didn&#39;t Like Dune,"Frank Herbert's Dune is one of science fiction's most influential and impactful pieces of literature. The political, religious and ...",magnify,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,6374499,11329,FALSE,,N/A
M_YcBpdZjcY,The Best Jump Scare | #Shorts | Science Fiction Station,"No matter how many times we watch this scene, we jump EVERY time. The Thing (1982): A research team finds an alien being ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,6222580,1141,FALSE,,N/A
nW_QHbuig_U,Musk declares &quot;science fiction without the fiction&quot; after giant Space X booster lands on launch pad,"Elon Musk pulled off SpaceX's boldest test flight yet of the enormous Starship rocket, catching the returner booster back at the ...",Fortune Magazine,,,['https://en.wikipedia.org/wiki/Knowledge'],,,6125461,6370,FALSE,,N/A
C8xAuN_nHNc,Top 10 Science Fiction Films of All Time,"We're breaking down some of the all time great sci-fi by asking, what does science fiction do exactly? How many different ideas ...",CineFix - IGN Movies and TV,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,5994300,9641,TRUE,,N/A
qaE20BpQjHk,அதிசய வீடு - movie explained in tamil voice over #shorts #science fiction #thriller #fantasy,"Copyright Disclaimer:- Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for ...",Voice Over Sri,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,5398296,70,FALSE,,N/A
d0qQ8lCCNRg,Claire Hides From The Therizinosaurus | Jurassic World: Dominion (2022) | Science Fiction Station,"After crash landing on Biosyn's island, Claire Dearing (Bryce Dallas Howard) is stalked by a terrifying Therizinosaurus dinosaur!",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,5291368,538,FALSE,,N/A
vKQi3bBA1y8,The Matrix (1999) Official Trailer #1 - Sci-Fi Action Movie,Subscribe to TRAILERS: http://bit.ly/sxaw6h Subscribe to COMING SOON: http://bit.ly/H2vZUn Subscribe to CLASSIC TRAILERS: ...,Rotten Tomatoes Classic Trailers,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,5085924,2565,FALSE,,N/A
W24ITYENY3E,Best science movies #shorts #abhiandniyu,ABOUT US: Abhi and Niyu is one of the fastest growing Indian educational YouTube channel . Abhi and Niyu are a husband-wife ...,Abhi and Niyu,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4817055,2827,FALSE,,N/A
uNwhBESEsq4,CORONA: FEAR IS A VIRUS 🎬 Exclusive Full Sci-Fi Movie Premiere 🎬 English HD 2024,Title: CORONA: FEAR IS A VIRUS Summary: When unlikely neighbors are trapped in an elevator with a Coronavirus suspect; ...,WATCH NOW - SCI-FI & FANTASY,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4698413,357,FALSE,,N/A
RQzVawa2Ek4,3 Must Watch Unique Sci-Fi Movies in Hindi | Shiromani Kant,for Business: mj@shiromanikant.com.,Movies Jockey,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4638367,827,FALSE,,N/A
yhI7Xvz5dmU,"Pandemic (Thriller, Science-Fiction) Full Movie",A New Mexico veterinarian finds herself in the midst of a horrifying pandemic where humans and animals are stricken with a ...,Cinéma Cinémas,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4630032,1901,TRUE,,N/A
cntb3wcZdTw,SOLSTICE - 5,"In a race for domination, the Continental Alliance's ambition leads to the uninhibited exploitation of planet Solstice-5. As they ...",Paul Chadeisson,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4481901,5530,FALSE,,N/A
GKhPVHoodrU,The Rocky Horror Picture Show Science Fiction Double Feature picture show,"Lips - Patricia Quinn - Magenta - A Domestic Music, Lyrics and Volcals - Richard O'Brien - Riff Raff - A Handyman.",kbmf0580,,,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",,,4450430,2420,FALSE,,N/A
bp3AT52IIfM,The Creatures Of R.I.P.D. | Science Fiction Station,"Watch out, undead creatures otherwise known as Deados are walking amongst the living! Rest In Peace Department Detectives ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4133250,368,FALSE,,N/A
MF3gl4Mts28,Giant Robot &amp; Kaiju Fight In Tokyo | Pacific Rim: Uprising | Science Fiction Station,It's a Jaeger vs. Kaiju throw-down as the giants take on each other in a massive fight in the middle of Tokyo. Pacific Rim: Uprising ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,4108861,515,FALSE,,N/A
W4d0BLU1FTE,Sci-Fi Short Film: &quot;Home&quot; | DUST,"Two young brothers living in rural isolation struggle to survive in the wake of a mysterious attack, only to have their fragile world ...",DUST,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3949866,849,TRUE,,N/A
HSaQoVOFS1U,Quantum Voyage (The Black Hole) | Full Movie Sci-Fi Thriller | Malcolm McDowell,Quantum Voyage - A sci-fi/thriller centered on a high school violinist who witnesses the collapse of space and time.,Sci-Fi Central,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3764747,1377,FALSE,,N/A
xQsLZzxk1x4,Riddick vs. Lord Marshall Necromonger | The Chronicles Of Riddick | Science Fiction Station,Riddick (Vin Diesel) infiltrates the main hall on the Necromongers' flagship in attempt to kill the Lord Marshall Necromonger (Colm ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3751977,682,FALSE,,N/A
Y2kx-NWFbzs,Best science fiction Hollywood movie in Hindi Dubbing | Full Action Full Adventure | sci fi hindi,"new science fiction movie 2020,new science fiction hollywood movie 2020,new science fiction movies 2020,best science fiction ...",Movie Ka Adda,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3642052,0,FALSE,,N/A
9ZEuYGAoq2I,Jack Meets The Tet (End Scene) | Oblivion | Science Fiction Station,Jack (Tom Cruise) comes face-to-face with the Tet as the fight for humanity's survival comes to an explosive end. Oblivion (2013): ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3524496,2383,FALSE,,N/A
0r2x7G0hwCw,The Real Stars and Scale of Sci-fi,"Some of the franchises mentioned: Star Trek, The Martian, Dune, Bobiverse, Halo, Mass Effect, Firefly, Serenity, Stargate, ...",Overview Effect,,,"['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Knowledge']",,,3474623,6054,TRUE,,N/A
x6RkEi-JPfs,A dangerous government experiment 🎬 Project 12: The Bunker / Adrenaline English Action Film,"A dangerous government experiment Project 12: The Bunker / Adrenaline English Action Film ""Bunker: Project 12"" is a ...",Kettle movie,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3408973,441,FALSE,,N/A
2X6eUYkvK54,Science  fiction  under water  technology  . Lets dive deep uding the scuba tools #lucidodhis,,odhis,,,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",,,3373781,844,FALSE,,N/A
Iiy-tbUfkVI,Hulk Takes A Taxi! | The Incredible Hulk | Science Fiction Station,"Picture this: you take a Taxi in downtown New York. Things are good, the sun is shining, you haven't hulked out in a while.",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",,,3334581,1416,FALSE,,N/A
ws8bvXA6Xxw,Encounter | Full Movie | Sci-Fi Drama | Luke Hemsworth,"Encounter - A group of friends uncover an otherworldly object in a rural field, which they soon discover holds greater secrets than ...",Movie Central,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3253778,1354,FALSE,,N/A
vwX5voR8DUk,"Axcellerator (Action, Sci-Fi) Full Length Movie","When a car thief stumbles onto a teleportation device and the girl of his dreams, the invention of the century takes them on an ...",Cinéma Cinémas,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3167353,464,TRUE,,N/A
XdFYbDn5H9A,Death By Tea Cup | The Chronicles Of Riddick | Science Fiction Station,Riddick finds himself in prison on the planet Crematoria & shows off his skills in using a tea cup as a weapon. The Chronicles Of ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,3075714,274,FALSE,,N/A
5yTzSpk_bTM,Sherman Klump vs. Buddy Love | The Nutty Professor (1996) | Science Fiction Station,It's a battle of the bodies as Sherman Klump (Eddie Murphy) tries to take his body back from the evil Buddy Love (also Eddie ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",,,3051091,431,FALSE,,N/A
FkvTfPmRIc4,Meet The Necromongers | The Chronicles Of Riddick | Science Fiction Station,Meet the Necromongers; an army of religious fanatics who seek to convert all human life and kill those who refuse. The Chronicles ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2991927,956,FALSE,,N/A
r37ARGRJC-k,Gantz: O Trailer (2017) Animated Science-Fiction Movie,Gantz: O Trailer - 2017 Animated Science-Fiction Movie Subscribe for more: ...,New Trailer Buzz,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2966727,1138,TRUE,,N/A
GKA-UE-ibw8,Durotan vs. Gul&#39;dan (Orc Fight) | Warcraft: The Beginning | Science Fiction Station,Durotan (Toby Kebbell) challenges Gul'dan (Daniel Wu) to a duel to the death for the leadership of the Orcs but Gul'dan violates ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",,,2969144,274,FALSE,,N/A
#NAME?,The Thing Absorbs Adam | The Thing (2011) | Science Fiction Station,The Thing continues to cause havoc throughout the base by absorbing Adam (Eric Christian Olsen) proving that two heads are ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2927649,1798,FALSE,,N/A
gbPyWBVsmQk,The Big Fat Breeding Alien Explodes | Slither | Science Fiction Station,Grant (Michael Rooker) has turned Brenda into a big fat breeding alien & she's about to explode! Slither (2006): A black comedy ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",,,2898053,1202,FALSE,,N/A
UAQp0E2CCOs,PARASITES | Full Movie | Sci-Fi,"Deadly creatures begin to breed and spread, devouring everyone in their path. The best movies, according to our viewers are ...",Boxoffice | SCI-FI | Full Movies,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2879825,544,TRUE,,N/A
Nl5oVcqQOSU,100 People Accidently Time-Travel By Train to a Destroyed  Earth in 2063 | Movie Recap Scifi,"In Tokyo, train passengers find themselves fighting for their very survival after their train car jumps into an apocalyptic future TV ...",Science Fiction Zone,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2872853,1755,TRUE,,N/A
N2tSDKngeoY,Beautiful World (2024 Mix),Provided to YouTube by Universal Music Group Beautiful World (2024 Mix) · Hikaru Utada SCIENCE FICTION ℗ A USM JAPAN ...,Hikaru Utada - Topic,,,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",,,2865261,142,FALSE,,N/A
ACSJjA9OQJI,All Mosasaurus Scenes In The Jurassic World Trilogy | Science Fiction Station,You're DEFINITELY going to need a bigger boat with this fish! The Mosasaurus made a big splash (pun intended!) into the ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2825423,764,FALSE,,N/A
#NAME?,Killing The Alien Hive (Final Scene) | Slither | Science Fiction Station,Grant (Michael Rooker) has kidnapped Starla (Elizabeth Banks) & intends to make her into an alien queen. It's up to Officer Pardy ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2760941,180,FALSE,,N/A
TAKXQKMTAU0,Neil deGrasse Tyson’s Sci-Fi Movie Tier List,How do some of the most revered sci-fi classics hold up against Neil's judgement? You think you know how Neil will rank movies ...,StarTalk Plus,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2747343,13662,FALSE,,N/A
MRkAegoHQfk,MATRIX Full Movie 2024: Neo Returns | FullHDvideos4me New Action Movies 2024 in English (Game Movie),Matrix Full Movie 2024: Neo Returns | FullHDvideos4me New Action Movies 2024 in English (Game Movie) ✓ Subscribe: ...,FullHDvideos4me,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2746991,420,FALSE,,N/A
NOxMmGau0Ao,A Female Sci-Fi Character Written By a Male Writer,This rocket is NOT what you guys think it is! #shorts #makesomenoise For full episodes of Make Some Noise and way more ...,Make Some Noise,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",,,2729363,2291,FALSE,,N/A
fBZB5X6EACo,Movie Sci - Fi | They are hunted by ancient flying predators,"Movie Sci - Fi | They are hunted by ancient flying predators Welcome to our Filmo Zone channel, your one-stop destination for an ...",FilmoZone,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2723861,237,FALSE,,N/A
n--SX54AUZU,Sub Zero: Dark Sci Fi Music For Winter Relaxation (Deep And Relaxing),Sub Zero Station 9. Location unknown. Purpose unknown. Creator unknown. Workers from the town below labour at The Station ...,Futurescapes - Sci Fi Ambience,,,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music']",,,2604489,1465,FALSE,,N/A
cS3VFibNvlc,Best Indominus Rex Scenes In Jurassic World | Science Fiction Station,"""The kids? This will give the parents nightmares."" The Indominus Rex roared its way into the Jurassic Park franchise in 2015 with ...",Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2543698,316,FALSE,,N/A
jOgXLpyJPFo,The Arrival | Charlie Sheen (Being John Malkovich) | SCIENCE FICTION | Full Movie in English,A brilliant young radio astronomer tries to thwart the devious schemes of aliens who have already started invading the planet.,Boxoffice | NEW Full Movies in English,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2492186,971,TRUE,,N/A
#NAME?,Hulk (2003) এর বাংলা Explained | Hulk Super Hero Science Fiction Movie Explained In Bangla | MCU,Hulk (2003) এর বাংলা Explained | Hulk Super Hero Science Fiction Movie Explained In Bangla | MCU ...,Relax Room,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2430805,155,FALSE,,N/A
mc15IMsugpU,Super Storm | Mega Cyclone | Full Movie | Action Sci-Fi Disaster,"Jupiter's famous blemish, the Great Red Spot, has vanished. When massive storms are reported in North America, it quickly ...",Sci-Fi Central,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2402566,174,FALSE,,N/A
l8eOa2eYfHo,The Thing&#39;s Final Form (Final Scene) | The Thing (1982) | Science Fiction Station,The Thing's final form is revealed as MacReady (Kurt Russell) & Childs (Keith David) prepare for battle. The Thing (1982): A ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2384329,1771,FALSE,,N/A
JXJka5rQ1u8,Top 3 MasterPiece Science Fiction Movies 😍 #shorts,Top 3 MasterPiece Science Fiction Movies #shorts #marvel #ironman #martian #endgame #sciencefiction.,The Abhay Dynasty ,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2357230,722,FALSE,,N/A
i7KoErjb1jk,La planète fantôme (1961) Science-fiction | Film complet en français,"Après qu'un astéroïde invisible ait attiré un astronaute et son vaisseau à sa surface, il est miniaturisé par l'atmosphère exotique ...",Culture Tube,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2219470,682,TRUE,,N/A
WC_YkKPuBH8,All Graboid Scenes In Tremors (1990) | Science Fiction Station,Grab your dynamite & wise-cracks because it's time to go GRABOID HUNTING! Those pesky worm creatures sure do a number on ...,Science Fiction Station,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2212430,119,FALSE,,N/A
-6HOdHEeosc,Lecture #1: Introduction — Brandon Sanderson on Writing Science Fiction and Fantasy,Welcome to my first (very blurry - it should be fixed for the next upload) lecture of my BYU 2020 creative writing class. As you ...,Brandon Sanderson,,,['https://en.wikipedia.org/wiki/Knowledge'],,,2202030,1959,TRUE,,N/A
MsfmDuuMRnA,This is the most powerful magnet in the world🤯/#science #facts,"This is the most powerful magnet in the world   The video clips used here,Their credits goes to their respective owners.",Factition,,,[],,,2189017,158,FALSE,,N/A
xjIRt5slfT8,🏜️ रेत से निकला विष मॉन्स्टर।🧟।#shortvideo #sciencefiction #movie #monster,रेत से निकला विष मॉन्स्टर।  ।#shortvideo #sciencefiction #movie #monster.,Teesra AF,,,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,2148726,0,FALSE,,N/A
